,organization,organizationId,issueId,totNbrOfComments,nbrOfComments
0,360buy,73.0,20429.0,13.0,5.0
1,450 sas,125.0,11363.0,15.0,1.0
2,TupiLabs,161.0,9343.0,3.0,1.0
3,TupiLabs,161.0,15961.0,10.0,1.0
4,a9,208.0,7.0,18.0,1.0
5,a9,208.0,105.0,16.0,1.0
6,a9,208.0,127.0,3.0,1.0
7,a9,208.0,132.0,3.0,1.0
8,a9,208.0,146.0,63.0,2.0
9,a9,208.0,158.0,11.0,1.0
10,a9,208.0,164.0,11.0,1.0
11,a9,208.0,198.0,22.0,1.0
12,a9,208.0,209.0,47.0,1.0
13,a9,208.0,235.0,44.0,3.0
14,a9,208.0,303.0,18.0,10.0
15,a9,208.0,314.0,7.0,1.0
16,a9,208.0,356.0,55.0,9.0
17,a9,208.0,382.0,6.0,1.0
18,a9,208.0,403.0,7.0,2.0
19,a9,208.0,418.0,45.0,1.0
20,a9,208.0,440.0,32.0,3.0
21,a9,208.0,448.0,5.0,1.0
22,a9,208.0,460.0,31.0,2.0
23,a9,208.0,490.0,7.0,3.0
24,a9,208.0,521.0,8.0,1.0
25,a9,208.0,538.0,4.0,2.0
26,a9,208.0,539.0,2.0,1.0
27,a9,208.0,547.0,4.0,1.0
28,a9,208.0,559.0,42.0,3.0
29,a9,208.0,586.0,4.0,1.0
30,a9,208.0,588.0,2.0,1.0
31,a9,208.0,604.0,6.0,1.0
32,a9,208.0,633.0,30.0,1.0
33,a9,208.0,638.0,4.0,1.0
34,a9,208.0,662.0,8.0,4.0
35,a9,208.0,667.0,4.0,1.0
36,a9,208.0,710.0,3.0,1.0
37,a9,208.0,726.0,6.0,1.0
38,a9,208.0,731.0,3.0,1.0
39,a9,208.0,744.0,3.0,1.0
40,a9,208.0,746.0,17.0,8.0
41,a9,208.0,809.0,7.0,3.0
42,a9,208.0,825.0,5.0,2.0
43,a9,208.0,832.0,30.0,4.0
44,a9,208.0,837.0,48.0,1.0
45,a9,208.0,843.0,3.0,1.0
46,a9,208.0,845.0,18.0,1.0
47,a9,208.0,887.0,2.0,1.0
48,a9,208.0,895.0,9.0,2.0
49,a9,208.0,1025.0,10.0,1.0
50,a9,208.0,1034.0,3.0,1.0
51,a9,208.0,1047.0,11.0,1.0
52,a9,208.0,1070.0,9.0,1.0
53,a9,208.0,1091.0,8.0,2.0
54,a9,208.0,1092.0,2.0,2.0
55,a9,208.0,1093.0,14.0,6.0
56,a9,208.0,1101.0,15.0,8.0
57,a9,208.0,1118.0,25.0,11.0
58,a9,208.0,1142.0,4.0,1.0
59,a9,208.0,1161.0,201.0,1.0
60,a9,208.0,1166.0,5.0,1.0
61,a9,208.0,1169.0,19.0,10.0
62,a9,208.0,1173.0,7.0,1.0
63,a9,208.0,1177.0,4.0,1.0
64,a9,208.0,1188.0,7.0,1.0
65,a9,208.0,1194.0,14.0,1.0
66,a9,208.0,1205.0,10.0,4.0
67,a9,208.0,1234.0,4.0,1.0
68,a9,208.0,1264.0,9.0,1.0
69,a9,208.0,1276.0,23.0,6.0
70,a9,208.0,1343.0,10.0,4.0
71,a9,208.0,1382.0,83.0,4.0
72,a9,208.0,1394.0,2.0,1.0
73,a9,208.0,1425.0,17.0,1.0
74,a9,208.0,1454.0,56.0,4.0
75,a9,208.0,1545.0,46.0,1.0
76,a9,208.0,1575.0,21.0,3.0
77,a9,208.0,1613.0,45.0,3.0
78,a9,208.0,1636.0,71.0,1.0
79,a9,208.0,1637.0,26.0,3.0
80,a9,208.0,1660.0,3.0,2.0
81,a9,208.0,1679.0,8.0,1.0
82,a9,208.0,1700.0,45.0,5.0
83,a9,208.0,1705.0,26.0,6.0
84,a9,208.0,1715.0,65.0,4.0
85,a9,208.0,1726.0,69.0,4.0
86,a9,208.0,1730.0,16.0,1.0
87,a9,208.0,1731.0,51.0,4.0
88,a9,208.0,1834.0,7.0,1.0
89,a9,208.0,1865.0,16.0,1.0
90,a9,208.0,1884.0,12.0,1.0
91,a9,208.0,1898.0,8.0,1.0
92,a9,208.0,1928.0,4.0,1.0
93,a9,208.0,1934.0,24.0,1.0
94,a9,208.0,1941.0,22.0,3.0
95,a9,208.0,1942.0,34.0,3.0
96,a9,208.0,1966.0,4.0,2.0
97,a9,208.0,1986.0,2.0,1.0
98,a9,208.0,2002.0,53.0,5.0
99,a9,208.0,2008.0,29.0,1.0
100,a9,208.0,2013.0,26.0,1.0
101,a9,208.0,2037.0,14.0,1.0
102,a9,208.0,2061.0,10.0,1.0
103,a9,208.0,2071.0,13.0,1.0
104,a9,208.0,2092.0,25.0,1.0
105,a9,208.0,2095.0,6.0,2.0
106,a9,208.0,2121.0,4.0,1.0
107,a9,208.0,2126.0,16.0,7.0
108,a9,208.0,2153.0,11.0,2.0
109,a9,208.0,2160.0,9.0,4.0
110,a9,208.0,2178.0,3.0,1.0
111,a9,208.0,2179.0,3.0,2.0
112,a9,208.0,2236.0,38.0,3.0
113,a9,208.0,2254.0,20.0,1.0
114,a9,208.0,2257.0,4.0,1.0
115,a9,208.0,2286.0,17.0,5.0
116,a9,208.0,2321.0,7.0,1.0
117,a9,208.0,2323.0,18.0,1.0
118,a9,208.0,2331.0,54.0,2.0
119,a9,208.0,2336.0,104.0,2.0
120,a9,208.0,2337.0,60.0,6.0
121,a9,208.0,2340.0,12.0,1.0
122,a9,208.0,2350.0,50.0,2.0
123,a9,208.0,2353.0,7.0,1.0
124,a9,208.0,2355.0,41.0,16.0
125,a9,208.0,2358.0,7.0,4.0
126,a9,208.0,2371.0,4.0,1.0
127,a9,208.0,2376.0,13.0,1.0
128,a9,208.0,2386.0,43.0,9.0
129,a9,208.0,2390.0,5.0,1.0
130,a9,208.0,2404.0,7.0,1.0
131,a9,208.0,2435.0,4.0,1.0
132,a9,208.0,2436.0,27.0,1.0
133,a9,208.0,2446.0,63.0,1.0
134,a9,208.0,2450.0,20.0,4.0
135,a9,208.0,2452.0,11.0,1.0
136,a9,208.0,2454.0,16.0,2.0
137,a9,208.0,2459.0,7.0,2.0
138,a9,208.0,2460.0,17.0,1.0
139,a9,208.0,2474.0,183.0,1.0
140,a9,208.0,2498.0,20.0,4.0
141,a9,208.0,2503.0,46.0,5.0
142,a9,208.0,2528.0,20.0,1.0
143,a9,208.0,2597.0,42.0,4.0
144,a9,208.0,2648.0,13.0,1.0
145,a9,208.0,2660.0,9.0,1.0
146,a9,208.0,2671.0,63.0,3.0
147,a9,208.0,2710.0,31.0,4.0
148,a9,208.0,2715.0,20.0,1.0
149,a9,208.0,2724.0,5.0,1.0
150,a9,208.0,2726.0,40.0,2.0
151,a9,208.0,2753.0,10.0,1.0
152,a9,208.0,2796.0,7.0,2.0
153,a9,208.0,2802.0,13.0,1.0
154,a9,208.0,2805.0,32.0,1.0
155,a9,208.0,2818.0,6.0,1.0
156,a9,208.0,2831.0,56.0,1.0
157,a9,208.0,2837.0,6.0,2.0
